demande_id,region,prefecture,commune,quartier_x,type_document,categorie_document,nombre_demandes,delai_traitement_jours,taux_rejet,date_demande,motif_demande,statut_demande,canal_demande,age_demandeur,sexe_demandeur,centre_id,nom_centre,type_centre,quartier_y,latitude,longitude,personnel_capacite_jour,nombre_guichets,heures_ouverture,horaire_nuit,equipement_numerique,date_ouverture,statut_centre,commune_id,latitude_geo,longitude_geo,altitude_m,superficie_km2,population_densite,code_postal,type_commune,distance_capitale_km,zone_climatique,pib_par_habitant_fcfa,taux_chomage,taux_pauvrete,acces_electricite,acces_eau_potable,acces_internet,indice_developpement,score_education,score_sante,nombre_ecoles,nombre_hopitaux,nombre_banques,population,superficie_km2_socio,densite,taux_urbanisation,taux_alphabetisation,age_median,nombre_menages,revenu_moyen_fcfa,annee,mois,nombre_demandes_mensuel,delai_moyen_jours,taux_rejet_moyen,delai_effectif,nombre_rejete,longueur_km,temps_parcours_heures
D001,Centrale,Sotouboua,Sotouboua,Nyékonakpoé,Carte d'identité,Identité,168.0,1.0,0.0,2023-09-30,Perte,Rejetée,En ligne,27.0,M,CT012,Centre Sotouboua,Secondaire,Résidentiel,8.2161,1.3118,54.0,5.0,08:00-16:00,Non,Partiel,2022-07-15,Actif,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,2023.0,1.0,950.0,18.4,0.07,17.8,50.0,280.0,2.2333333333333334
D001,Centrale,Sotouboua,Sotouboua,Nyékonakpoé,Carte d'identité,Identité,168.0,1.0,0.0,2023-09-30,Perte,Rejetée,En ligne,27.0,M,CT051,Centre Sotouboua,Secondaire,Résidentiel,9.1659,0.8743,109.0,2.0,08:00-16:00,Non,Partiel,2022-05-29,Actif,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,2023.0,1.0,950.0,18.4,0.07,22.08333333333333,97.0,280.0,2.2333333333333334
D002,Kara,Binah,Pagouda,Hôpital,Carte d'identité,Identité,17.0,22.0,0.09,2023-12-22,Vol,Traitee,En ligne,21.0,F,CT004,Centre Pagouda,Secondaire,Gare routière,9.4247,1.1698,78.0,6.0,08:00-16:00,Non,Partiel,2019-12-03,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,760.0,18.660000000000004,0.05800000000000001,26.0,75.0,228.0,2.2
D002,Kara,Binah,Pagouda,Hôpital,Carte d'identité,Identité,17.0,22.0,0.09,2023-12-22,Vol,Traitee,En ligne,21.0,F,CT011,Centre Pagouda,Secondaire,Préfecture,9.4996,0.9323,82.0,6.0,08:00-16:00,Non,Partiel,2017-11-30,Actif,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,2024.0,1.0,760.0,18.660000000000004,0.05800000000000001,20.0,42.0,228.0,2.2
D003,Plateaux,Ogou,Atakpamé,Bè,Certificat de nationalité,Identité,104.0,4.0,0.08,2023-08-13,Concours,Traitee,En ligne,18.0,M,CT010,Centre Principal Sokodé,Principal,Résidentiel,10.41956,0.32399999999999995,203.6,8.4,07:30-17:30,Non,Complet,2020-08-10,Actif,COM053,7.3133,1.1083,354.0,137.0,3058.0,BP 87,Urbaine,131.0,Transition,660000.0,0.18,0.34,0.89,0.86,0.44,0.65,0.71,0.66,125.0,9.0,23.0,58073.0,177.0,328.0,0.56,0.76,20.0,13170.0,208908.0,2023.0,2.2,1272.0,20.560000000000002,0.06799999999999999,17.583333333333336,56.2,455.0,2.7
D004,Savanes,Oti,Mango,Amoutivé,Carte d'identité,Identité,92.0,39.0,0.02,2023-06-08,Première demande,Rejetée,Guichet,64.0,M,CT010,Centre Principal Sokodé,Principal,Résidentiel,9.45466,1.0748000000000002,79.6,6.0,07:30-17:30,Non,Complet,2020-08-10,Actif,COM163,10.1324,0.399,187.0,516.0,36.0,BP 370,Rurale,453.0,Savane,470000.0,0.26,0.51,0.73,0.71,0.29,0.51,0.56,0.54,72.0,4.0,12.0,46977.0,239.0,196.0,0.13,0.64,23.0,9179.0,127582.0,2023.0,1.0,606.0,28.639999999999997,0.10200000000000001,23.6,61.8,105.0,1.4500000000000002
D005,Maritime,Zio,Tsévié,Adidogomé,Livre de famille,Civil,138.0,7.0,0.12,2023-02-02,Détérioration,Rejetée,En ligne,30.0,M,CT006,Centre Principal Tsévié,Principal,Marché,6.4705,1.4344,338.0,8.0,07:30-17:30,Non,Complet,2022-08-28,Actif,COM039,6.1125,1.2066,66.0,102.0,1427.0,BP 124,Urbaine,3.0,Côtière,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,128421.0,73.0,1759.0,0.52,0.86,22.0,20002.0,217586.0,2023.0,1.0,410.0,17.0,0.054000000000000006,19.75,43.0,228.0,2.2
D005,Maritime,Zio,Tsévié,Adidogomé,Livre de famille,Civil,138.0,7.0,0.12,2023-02-02,Détérioration,Rejetée,En ligne,30.0,M,CT036,Centre Principal Tsévié,Principal,Résidentiel,6.2606,1.3498,206.0,8.0,07:30-17:30,Oui,Complet,2016-11-14,Actif,COM039,6.1125,1.2066,66.0,102.0,1427.0,BP 124,Urbaine,3.0,Côtière,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,128421.0,73.0,1759.0,0.52,0.86,22.0,20002.0,217586.0,2023.0,1.0,410.0,17.0,0.054000000000000006,18.571428571428573,70.0,228.0,2.2
D006,Savanes,Tône,Dapaong,Nyékonakpoé,Carte d'identité,Identité,157.0,22.0,0.15,2023-04-02,Vol,Traitee,En ligne,82.0,F,CT001,Centre Principal Dapaong,Principal,Administratif,10.592,0.4742,300.0,12.0,07:30-17:30,Non,Complet,2016-02-14,Actif,COM157,10.2444,0.6929,164.0,187.0,3082.0,BP 32,Urbaine,460.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,115222.0,275.0,418.0,0.6,0.67,24.0,18856.0,172975.0,2024.0,1.0,1222.0,14.280000000000001,0.046,17.555555555555557,57.0,130.0,1.9
D006,Savanes,Tône,Dapaong,Nyékonakpoé,Carte d'identité,Identité,157.0,22.0,0.15,2023-04-02,Vol,Traitee,En ligne,82.0,F,CT032,Centre Dapaong,Secondaire,Gare routière,10.1609,0.0987,59.0,3.0,08:00-16:00,Non,Partiel,2016-03-21,Actif,COM157,10.2444,0.6929,164.0,187.0,3082.0,BP 32,Urbaine,460.0,Savane,720000.0,0.13,0.27,0.9200000000000002,0.89,0.6,0.69,0.75,0.73,190.0,13.0,30.0,115222.0,275.0,418.0,0.6,0.67,24.0,18856.0,172975.0,2024.0,1.0,1090.0,16.78,0.054000000000000006,17.625,55.0,130.0,1.9
